Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Day_of_Week_Weekend,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night
49.3,2,2.38,0.86,0.4,47.72,63.866,0,0,0,0
36.68,3,3.89,0.94,0.36,106.25,76.6192,1,0,0,0
31.98,3,2.32,1.16,0.35,52.39,57.7533,0,0,1,0
32.04,4,4.44,1.02,0.41,9.1,40.8518,0,0,0,0
5.42,3,3.85,1.84,0.24,68.73,30.318,0,0,1,0
3.0,2,2.17,0.73,0.45,34.01,19.6645,0,0,1,0
29.95,2,4.24,0.7,0.24,98.23,48.7802,0,0,1,0
34.2,1,4.55,1.02,0.41,113.92,86.1412,0,0,0,0
26.09,4,3.92,0.87,0.45,62.23,54.62179999999999,0,0,0,0
9.54,1,2.1,1.79,0.33,42.43,33.1785,1,0,0,0
6.56,3,3.48,0.85,0.31,97.94,39.4174,0,0,0,0
13.64,4,2.43,1.54,0.14,43.75,29.5606,0,0,1,0
41.04,1,3.5,1.06,0.4,41.3,63.522400000000005,1,0,0,0
28.2,2,4.74,1.03,0.22,15.0,37.086,1,0,1,0
32.02,2,3.78,1.7,0.34,6.39,60.38660000000001,0,0,0,0
17.61,1,4.26,1.34,0.47,64.68,58.257000000000005,0,0,1,0
39.21,2,2.88,0.94,0.21,70.94,54.6348,0,0,1,0
8.92,3,3.69,1.07,0.36,42.14,28.4048,0,0,1,0
45.03,1,2.76,0.95,0.24,32.28,53.2857,0,0,0,0
30.72,3,4.75,1.19,0.12,35.2,45.5308,1,0,0,0
5.97,4,4.69,1.89,0.32,90.57,44.95569999999999,0,0,0,0
1.25,3,3.97,1.49,0.31,12.8,9.8005,0,0,0,0
27.89,1,2.51,0.65,0.11,97.69,31.3844,1,0,0,0
34.9,3,4.9,0.85,0.25,38.29,44.1375,1,0,0,0
12.63,3,2.9,1.12,0.48,102.2,66.10159999999999,0,0,1,0
16.94,4,2.56,0.63,0.19,65.42,25.662,1,0,1,0
37.58,4,2.91,1.16,0.47,84.52,86.22719999999998,0,0,0,0
42.61,3,2.43,0.94,0.49,62.01,72.86829999999999,0,0,1,0
28.85,1,3.27,0.61,0.47,91.67,63.9534,0,0,1,0
13.99,4,2.39,1.39,0.46,104.56,69.9337,0,0,0,0
48.68,4,2.59,1.01,0.14,51.44,58.9584,0,0,0,0
20.26,3,2.29,0.63,0.27,29.7,23.0728,0,0,1,0
31.93,1,4.77,1.71,0.32,37.67,71.4247,0,0,0,0
29.27,4,3.97,1.9,0.1,33.99,62.982,1,0,1,0
25.13,4,3.61,1.02,0.42,57.23,53.2792,1,0,1,0
2.19,1,2.8,0.51,0.18,14.2,6.472899999999999,0,0,0,0
9.68,2,3.37,1.91,0.13,72.94,31.341,0,0,1,0
46.49,3,4.08,1.99,0.34,63.05,118.0321,0,0,0,0
21.98,1,4.02,1.52,0.17,22.2,41.2036,0,0,1,0
19.87,1,4.4,1.34,0.38,27.6,41.5138,1,0,0,0
16.53,4,4.34,0.63,0.27,24.96,21.4931,1,0,1,0
9.31,2,4.73,0.5,0.2,115.15,32.415000000000006,1,0,0,0
28.28,2,3.15,1.17,0.4,103.28,77.5496,0,0,0,0
46.87,4,3.89,1.76,0.2,31.51,92.6832,0,0,1,0
35.11,3,3.29,1.36,0.45,42.67,70.2411,0,0,0,0
28.93,2,3.31,2.0,0.46,29.14,74.5744,0,0,1,0
5.76,2,2.93,0.93,0.18,61.57,19.3694,0,0,0,0
31.14,2,4.29,0.92,0.35,7.26,35.4798,1,0,0,0
37.3,3,4.21,1.86,0.35,97.47,107.7025,0,0,1,0
40.66,2,3.9,0.67,0.3,34.29,41.4292,0,0,0,0
45.75,3,4.16,0.75,0.23,52.31,50.5038,0,0,1,0
35.4,3,4.47,1.98,0.46,93.88,117.7468,0,0,1,0
39.99,2,2.71,0.58,0.31,43.98,39.538,0,0,0,0
29.34,2,2.05,1.59,0.48,70.14,82.3678,0,0,0,0
23.81,1,2.81,1.91,0.24,62.02,63.1719,1,0,1,0
15.04,1,5.0,1.78,0.11,15.09,33.4311,0,0,1,0
29.95,4,2.63,1.33,0.33,81.84,69.47070000000001,0,0,1,0
2.83,1,3.99,0.96,0.19,11.65,8.920300000000001,0,0,1,0
18.65,1,4.75,0.98,0.36,87.41,54.49459999999999,0,0,0,0
26.59,2,4.39,0.93,0.1,51.41,34.2597,0,0,1,0
11.58,3,4.93,0.97,0.17,63.28,26.9202,0,0,1,0
31.52,1,4.89,0.65,0.19,19.55,29.0925,0,0,0,0
3.53,1,2.9,0.59,0.12,92.82,16.1211,1,0,1,0
32.23,3,4.45,1.2,0.23,119.08,70.5144,0,0,0,0
39.96,4,3.89,1.0,0.2,9.66,45.782,0,0,0,0
22.51,4,2.5,1.66,0.19,28.35,45.2531,0,0,1,0
2.24,1,4.46,0.52,0.14,102.26,19.9412,0,0,0,0
41.96,4,2.21,1.22,0.19,80.28,68.65440000000001,1,0,0,0
35.1,2,2.17,0.7,0.31,86.57,53.5767,0,0,0,0
21.04,2,2.36,0.85,0.2,72.41,34.726,0,0,0,0
8.67,2,4.79,1.79,0.46,71.36,53.1349,0,0,1,0
13.26,4,3.49,1.56,0.33,44.36,38.814400000000006,0,0,1,0
47.79,4,2.52,0.82,0.28,106.03,71.3962,1,0,0,0
37.16,2,3.08,1.72,0.44,39.71,84.4676,1,0,0,0
13.14,3,3.6,1.11,0.14,35.14,23.105000000000004,0,0,0,0
18.44,2,4.99,1.9,0.18,44.45,48.027,0,0,0,0
38.13,4,3.42,0.63,0.27,52.23,41.544,0,0,0,0
1.71,4,4.45,1.27,0.18,87.85,22.4347,0,0,1,0
3.0,1,3.79,0.73,0.28,9.82,8.729600000000001,0,0,0,0
42.92,3,4.66,1.05,0.34,62.85,71.095,0,0,1,0
35.48,3,3.23,1.43,0.38,72.19,81.39859999999999,0,0,0,0
5.79,2,3.89,1.95,0.45,10.65,19.973,0,0,1,0
25.09,2,3.25,1.87,0.33,70.95,73.5818,1,0,1,0
24.2,1,2.43,0.75,0.28,103.17,49.4676,0,0,0,0
31.18,1,2.71,0.79,0.35,89.23,58.5727,0,0,0,0
32.12,4,2.63,1.12,0.43,112.31,86.89770000000001,0,0,0,0
3.22,1,4.21,1.17,0.3,80.58,32.151399999999995,0,0,0,0
42.97,4,4.88,1.9,0.38,59.08,108.9734,1,0,0,0
33.28,1,4.55,1.86,0.42,8.33,69.9494,0,0,0,0
4.46,3,3.22,0.53,0.3,60.41,23.7068,1,0,0,0
47.07,4,2.06,1.86,0.15,71.04,100.2662,0,0,1,0
29.2,3,3.76,1.45,0.18,76.53,59.87539999999999,0,0,0,0
32.52,4,3.55,1.86,0.18,98.97,81.85180000000001,0,0,1,0
23.45,1,2.02,1.94,0.1,104.02,57.915,0,0,0,0
19.92,4,3.33,0.96,0.49,84.95,64.0787,0,0,1,0
4.4,2,3.77,1.94,0.1,45.28,16.834,1,0,1,0
1.89,1,2.71,0.62,0.11,20.41,6.1269,1,0,1,0
34.47,1,4.49,1.01,0.46,5.5,41.834700000000005,0,0,0,0
4.49,3,3.25,1.78,0.31,111.33,45.75449999999999,0,0,1,0
42.4,4,4.6,0.79,0.36,15.91,43.823600000000006,0,0,0,0
2.14,4,4.01,0.79,0.25,43.3,16.525599999999997,1,0,0,0
40.91,1,3.34,1.65,0.36,47.96,88.1071,0,0,0,0
14.81,1,3.46,0.9,0.12,29.64,20.3458,1,0,0,0
6.79,3,2.61,1.65,0.12,72.29,22.4883,1,0,1,0
35.14,2,3.88,0.81,0.28,55.94,48.006600000000006,1,0,0,0
31.82,4,3.08,0.98,0.32,8.93,37.1212,1,0,0,0
44.0,3,4.99,1.2,0.46,41.76,76.9996,0,0,1,0
40.37,1,3.46,1.9,0.43,84.32,116.42059999999998,0,0,0,0
9.69,2,4.75,1.04,0.26,85.28,37.0004,0,0,1,0
40.53,1,3.35,1.26,0.26,16.46,58.6974,0,0,0,0
49.53,2,4.16,1.19,0.16,36.33,68.9135,0,0,1,0
21.22,2,3.76,1.85,0.3,100.66,73.21499999999999,0,0,1,0
19.23,3,3.48,1.9,0.42,117.75,89.472,0,0,1,0
17.7,1,3.39,1.24,0.3,6.12,27.174,1,0,0,0
43.06,1,4.74,1.71,0.38,42.04,94.3478,0,0,0,0
37.79,1,4.86,0.98,0.2,13.64,44.6222,0,0,0,0
6.05,3,3.89,0.84,0.33,46.98,24.4754,0,0,1,0
25.76,3,2.39,0.56,0.21,94.76,36.7152,0,0,1,0
44.88,1,3.87,0.58,0.5,77.08,68.4404,0,0,0,0
47.58,3,4.13,0.8,0.31,105.33,74.8463,0,0,1,0
29.1,4,3.26,0.82,0.12,29.8,30.698,0,0,1,0
15.37,1,4.95,1.07,0.37,64.12,45.1203,0,0,1,0
5.47,1,2.52,0.82,0.17,75.75,19.8829,1,0,1,0
25.23,3,3.94,1.35,0.13,100.22,51.0291,0,0,1,0
38.31,1,2.99,0.64,0.41,31.15,40.2799,1,0,0,0
31.29,1,2.74,1.14,0.34,24.7,46.8086,1,0,0,0
5.12,4,3.17,1.92,0.21,75.09,28.7693,1,0,1,0
35.35,1,4.2,1.21,0.15,79.01,58.825,0,0,1,0
4.57,2,4.05,0.98,0.3,15.12,13.0646,0,0,0,0
49.35,2,2.7,1.8,0.36,49.86,109.4796,0,0,1,0
19.34,2,2.06,1.51,0.46,104.31,79.24600000000001,1,0,0,0
47.42,2,3.02,1.64,0.16,104.35,97.4848,0,0,1,0
28.36,3,2.48,1.21,0.13,99.77,49.7657,1,0,0,0
45.41,2,3.85,0.51,0.12,69.95,35.4031,0,0,0,0
6.45,2,2.13,1.73,0.46,44.01,33.5331,0,0,1,0
1.56,4,2.93,1.31,0.37,79.16,34.2628,0,0,0,0
23.96,3,3.11,1.52,0.43,102.92,83.7848,0,0,0,0
3.76,4,4.31,1.55,0.16,75.06,22.1476,0,0,1,0
6.82,2,4.43,1.93,0.12,103.11,29.965799999999994,0,0,0,0
37.56,4,3.22,1.93,0.15,56.81,84.23230000000001,0,0,1,0
29.59,3,4.32,1.46,0.29,6.34,49.36,0,0,0,0
19.37,3,4.69,0.69,0.11,81.08,26.9741,0,0,1,0
43.56,3,2.26,1.04,0.11,89.67,57.426100000000005,0,0,0,0
48.2,3,4.48,1.21,0.46,12.68,68.63480000000001,0,0,0,0
44.67,2,4.55,1.12,0.46,14.16,61.09400000000001,1,0,0,0
26.86,4,2.87,1.32,0.31,54.4,55.1892,0,0,0,0
49.66,4,4.86,1.15,0.16,68.75,72.969,1,0,0,0
26.63,1,3.73,0.56,0.38,43.27,35.08540000000001,1,0,0,0
23.27,2,4.88,1.9,0.38,78.31,78.85079999999999,1,0,0,0
31.75,1,2.13,1.75,0.19,68.64,70.7341,0,0,1,0
29.63,3,2.43,1.76,0.28,6.31,56.345600000000005,0,0,0,0
3.23,2,3.7,1.14,0.41,48.24,27.1606,0,0,0,0
14.77,4,4.8,1.21,0.28,113.4,54.42370000000001,1,0,0,0
44.62,2,4.47,0.55,0.44,72.58,60.9462,0,0,0,0
31.39,1,3.63,0.86,0.19,28.43,36.0271,0,0,0,0
10.22,2,3.5,0.63,0.23,59.81,23.694900000000004,0,0,1,0
23.72,3,2.22,1.89,0.15,39.05,52.9083,0,0,0,0
18.31,1,4.05,1.37,0.21,64.22,42.6209,0,0,0,0
29.6,2,3.51,1.5,0.18,24.02,52.2336,0,0,0,0
4.81,1,4.3,1.87,0.28,117.44,46.1779,1,0,0,0
48.75,2,3.46,1.02,0.46,17.41,61.1936,1,0,0,0
35.21,4,3.94,0.56,0.39,110.06,66.581,1,0,0,0
27.27,3,2.52,0.78,0.37,65.42,47.996,1,0,0,0
8.97,1,4.89,1.07,0.25,44.17,25.5304,0,0,0,0
45.64,4,3.56,1.3,0.4,39.63,78.744,1,0,0,0
43.44,1,3.51,0.79,0.19,11.01,39.9195,0,0,1,0
2.29,1,4.26,1.8,0.41,13.54,13.9334,1,0,1,0
19.45,1,2.4,0.86,0.29,16.93,24.0367,0,0,0,0
49.38,1,3.64,1.03,0.28,9.47,57.153000000000006,0,0,1,0
30.11,3,3.25,1.33,0.3,36.34,54.1983,0,0,1,0
42.26,3,2.3,1.69,0.26,40.14,84.1558,0,0,1,0
42.08,1,2.27,1.41,0.19,64.53,73.86349999999999,1,0,0,0
23.97,1,2.79,1.24,0.26,48.93,45.2346,0,0,1,0
21.33,1,4.62,0.56,0.43,69.89,46.61750000000001,0,0,1,0
14.4,2,2.39,1.98,0.19,18.17,34.3543,1,0,0,0
43.37,3,2.3,0.73,0.42,53.94,56.61489999999999,1,0,0,0
40.83,1,3.87,1.5,0.24,45.05,75.92699999999999,0,0,0,0
49.99,3,3.07,0.93,0.36,86.67,80.7619,1,0,0,0
28.22,3,2.7,1.38,0.14,100.83,55.7598,0,0,1,0
47.29,1,2.71,1.75,0.14,87.75,97.75249999999998,1,0,1,0
13.12,3,4.62,1.17,0.44,102.3,64.9824,0,0,0,0
23.08,4,2.38,1.31,0.24,89.61,54.1212,1,0,1,0
7.33,2,4.6,1.5,0.49,29.35,29.9765,1,0,0,0
30.7,4,2.38,1.09,0.21,41.37,44.5307,1,0,1,0
12.2,1,3.28,1.47,0.12,117.25,35.284,1,0,0,0
33.91,2,2.48,0.73,0.38,34.54,40.3595,0,0,1,0
26.5,1,4.44,0.81,0.45,114.61,77.4795,0,0,1,0
42.76,2,4.85,1.29,0.17,67.92,71.5568,0,0,0,0
43.96,3,4.54,1.24,0.42,71.19,88.9502,0,0,1,0
7.57,3,3.42,1.7,0.23,103.8,40.163,0,0,0,0
2.41,2,3.47,0.87,0.19,31.26,11.5061,0,0,0,0
35.5,2,3.21,1.91,0.35,111.09,109.89649999999996,1,0,0,0
11.44,1,3.0,1.28,0.2,103.06,38.2552,1,0,1,0
1.71,3,3.72,1.67,0.17,50.16,15.1029,0,0,1,0
29.91,1,4.38,1.4,0.11,58.4,52.678,0,0,0,0
22.44,3,3.0,1.25,0.23,63.08,45.5584,0,0,1,0
45.3,3,2.32,0.73,0.28,8.51,37.7718,1,0,0,0
18.06,3,2.72,0.77,0.33,20.16,23.279,1,0,0,0
26.19,1,4.85,1.05,0.27,106.96,61.2287,0,0,0,0
39.4,2,2.92,1.15,0.27,91.44,72.9188,1,0,0,0
43.26,4,2.92,1.26,0.43,47.55,77.8741,0,0,1,0
47.53,2,2.11,0.77,0.2,90.19,56.7461,0,0,1,0
8.21,3,2.97,1.36,0.34,95.18,46.49680000000001,1,0,1,0
46.4,4,3.63,1.46,0.33,92.78,101.9914,0,0,0,0
25.11,4,3.66,1.34,0.25,88.1,59.3324,0,0,0,0
23.5,4,3.34,1.0,0.23,43.87,36.9301,0,0,1,0
49.02,4,4.9,1.65,0.16,59.03,95.2278,1,0,0,0
25.14,2,3.13,1.15,0.19,43.04,40.2186,0,0,0,0
4.72,1,4.28,1.48,0.48,50.89,35.6928,0,0,0,0
7.32,4,2.62,1.43,0.39,117.69,58.9867,0,0,0,0
9.91,1,3.02,1.53,0.33,61.11,38.348600000000005,0,0,1,0
17.94,1,3.69,0.69,0.49,85.75,58.0861,0,0,1,0
9.44,1,4.56,0.57,0.18,14.92,12.6264,0,0,1,0
9.28,3,3.06,0.51,0.43,71.29,38.447500000000005,0,0,1,0
14.65,4,4.17,0.8,0.5,96.08,63.93,0,0,0,0
9.67,4,2.96,1.94,0.26,42.3,32.7178,1,0,1,0
5.35,1,4.72,1.42,0.12,87.36,22.8002,0,0,0,0
6.91,3,2.38,0.89,0.42,20.57,17.1693,0,0,1,0
23.58,2,2.54,0.6,0.34,38.5,29.778,0,0,0,0
11.11,1,3.48,0.54,0.18,21.64,13.3746,0,0,1,0
18.85,3,2.25,0.87,0.3,98.29,48.1365,0,0,0,0
25.67,3,2.59,1.82,0.4,30.6,61.54940000000001,1,0,1,0
34.83,3,4.83,1.12,0.41,87.5,79.71459999999999,0,0,0,0
40.17,2,3.13,1.88,0.22,65.69,93.1014,0,0,0,0
31.77,4,4.77,1.11,0.49,67.1,72.9137,0,0,0,0
5.01,4,3.63,0.79,0.37,58.02,29.055300000000003,1,0,0,0
43.81,3,2.81,1.28,0.26,42.48,69.9316,0,0,0,0
46.12,3,4.11,1.86,0.21,59.7,102.4302,0,0,0,0
19.15,2,2.01,1.3,0.15,80.61,38.9965,0,0,0,0
19.08,4,4.36,1.22,0.1,115.6,39.1976,1,0,0,0
23.66,3,3.53,0.61,0.15,52.82,25.8856,0,0,1,0
13.37,2,2.85,1.92,0.19,114.32,50.2412,0,0,0,0
22.92,3,2.31,1.61,0.13,68.51,48.11750000000001,0,0,1,0
12.88,2,4.8,1.44,0.49,42.13,43.9909,1,0,1,0
6.87,4,4.35,1.9,0.48,89.4,60.315,0,0,1,0
5.26,1,3.74,1.65,0.31,67.5,33.344,0,0,1,0
27.32,2,3.62,0.66,0.43,62.17,48.3843,0,0,0,0
29.76,3,2.15,1.94,0.14,20.5,62.7544,0,0,1,0
37.53,4,2.19,1.84,0.48,62.05,101.0292,0,0,0,0
22.15,2,2.56,0.91,0.42,24.45,32.985499999999995,1,0,1,0
14.91,1,4.23,1.28,0.38,112.25,65.9698,1,0,0,0
18.79,3,4.17,1.19,0.25,74.57,45.1726,1,0,0,0
28.97,3,4.51,1.37,0.41,51.21,65.195,0,0,0,0
18.45,4,2.46,1.59,0.49,109.53,85.4652,0,0,0,0
12.62,3,3.12,1.55,0.29,47.38,36.4212,0,0,0,0
13.05,1,3.22,1.79,0.12,103.2,38.9635,0,0,1,0
9.5,1,2.16,1.22,0.43,36.15,29.2945,0,0,0,0
49.14,3,3.58,1.21,0.22,27.99,69.1972,0,0,0,0
20.49,1,2.51,1.66,0.39,96.76,74.2598,0,0,0,0
43.41,2,2.96,1.25,0.14,5.66,58.0149,0,0,0,0
9.37,1,2.35,1.67,0.13,18.1,20.3509,0,0,0,0
46.54,2,2.07,0.84,0.22,85.74,60.0264,0,0,1,0
29.01,2,4.36,1.39,0.2,88.77,62.4379,0,0,0,0
14.72,4,2.89,1.07,0.47,5.01,20.9951,0,0,0,0
38.71,2,2.41,1.25,0.31,114.7,86.3545,0,0,0,0
16.86,1,4.09,1.34,0.45,108.96,75.7144,0,0,1,0
21.85,3,3.93,1.23,0.26,6.8,32.5735,0,0,0,0
25.87,2,4.35,1.26,0.23,112.39,62.7959,0,0,0,0
12.88,4,4.81,0.76,0.18,98.13,32.2622,0,0,1,0
6.63,4,4.08,1.72,0.25,101.28,40.8036,1,0,0,0
30.92,4,2.47,1.31,0.23,15.73,46.5931,0,0,1,0
15.14,3,2.73,0.7,0.37,89.96,46.61319999999999,0,0,1,0
24.58,1,2.22,1.92,0.13,70.61,58.59289999999999,1,0,0,0
27.1,3,4.11,1.05,0.18,113.75,53.040000000000006,0,0,0,0
3.54,2,3.21,0.7,0.26,55.94,20.2324,1,0,0,0
17.49,2,4.76,1.28,0.47,73.92,61.8896,0,0,0,0
7.59,2,3.95,0.67,0.25,59.78,23.9803,0,0,0,0
4.11,4,2.27,1.9,0.37,112.28,51.6226,1,0,0,0
49.51,2,4.84,0.78,0.2,13.75,46.207800000000006,1,0,1,0
40.68,3,3.01,1.11,0.12,84.0,58.2448,0,0,1,0
13.48,3,3.21,1.07,0.22,96.07,38.769,0,0,0,0
34.39,4,2.15,1.69,0.16,72.05,71.7971,0,0,0,0
38.25,1,3.49,1.18,0.17,109.53,67.24510000000001,0,0,1,0
30.19,2,2.37,0.76,0.4,113.33,70.6464,0,0,1,0
21.18,2,3.05,1.26,0.32,51.27,46.1432,0,0,0,0
18.09,4,4.32,0.72,0.25,7.7,19.2698,0,0,1,0
41.7,2,2.46,1.35,0.33,66.74,80.7792,0,0,0,0
48.29,3,3.1,1.57,0.23,109.74,104.1555,1,0,0,0
36.81,2,2.45,1.87,0.39,19.66,78.95210000000002,0,0,1,0
46.98,4,4.4,1.92,0.45,15.7,101.6666,1,0,1,0
9.88,1,4.12,0.87,0.18,72.77,25.8142,1,0,1,0
4.26,4,2.57,0.7,0.14,66.19,14.8186,1,0,0,0
37.31,2,3.1,0.95,0.46,35.63,54.9343,0,0,1,0
29.15,2,2.32,1.84,0.24,108.44,81.9816,0,0,0,0
9.05,2,3.74,0.51,0.18,59.73,19.1069,1,0,0,0
40.91,1,4.73,1.16,0.28,19.1,57.53359999999999,0,0,0,0
33.59,1,3.66,0.57,0.42,111.71,69.7245,0,0,0,0
41.01,1,3.95,1.8,0.42,16.56,84.7232,0,0,1,0
19.47,2,4.68,1.15,0.16,84.35,40.56649999999999,0,0,0,0
25.63,3,4.22,1.3,0.26,85.95,59.886,0,0,1,0
12.38,2,4.27,0.93,0.23,61.64,29.9606,0,0,0,0
19.81,3,2.5,1.5,0.19,61.26,43.8544,0,0,1,0
31.59,3,2.26,1.72,0.42,40.38,73.5544,0,0,1,0
6.73,4,3.39,1.78,0.47,9.87,20.0083,0,0,0,0
31.76,3,3.01,0.9,0.1,33.58,34.952,0,0,1,0
27.14,2,3.99,0.57,0.49,24.44,31.4354,1,0,0,0
44.8,1,4.51,1.58,0.35,94.11,108.2325,1,0,1,0
39.64,4,2.65,1.17,0.42,19.92,57.3952,0,0,0,0
13.18,4,2.47,1.5,0.4,84.05,55.86,0,0,1,0
37.45,4,4.92,0.5,0.11,77.83,32.2063,0,0,0,0
2.64,1,4.53,1.71,0.43,98.23,51.2833,0,0,1,0
28.92,1,3.5,0.62,0.11,10.15,22.5469,1,0,0,0
43.96,2,2.29,1.08,0.25,37.22,59.0718,0,0,0,0
41.24,1,3.91,1.03,0.38,38.26,60.92600000000001,0,0,0,0
7.25,3,2.2,1.46,0.13,81.33,23.3579,1,0,0,0
8.35,4,3.96,1.81,0.4,43.66,36.5375,0,0,0,0
12.23,4,2.77,0.95,0.3,38.38,25.9025,0,0,0,0
36.39,2,3.09,0.64,0.27,67.24,44.5344,0,0,0,0
35.0,2,4.48,1.36,0.23,53.07,64.2861,0,0,1,0
13.34,4,4.29,0.71,0.45,87.97,53.3479,1,0,0,0
9.9,3,2.62,0.81,0.34,102.33,45.4312,1,0,0,0
29.59,4,4.6,1.32,0.28,75.26,64.73160000000001,1,0,0,0
20.64,3,3.3,0.93,0.11,99.33,33.4215,0,0,0,0
8.51,4,2.43,1.58,0.49,63.88,47.177,0,0,1,0
25.79,2,4.86,0.66,0.13,66.91,30.5797,0,0,0,0
30.96,2,2.96,1.24,0.18,69.98,53.9468,0,0,0,0
1.89,2,4.6,0.74,0.41,114.1,52.77959999999999,0,0,1,0
35.14,2,4.17,1.05,0.11,113.49,53.550900000000006,1,0,1,0
46.2,1,2.93,1.46,0.43,16.33,77.40390000000001,0,0,1,0
30.73,3,4.33,1.83,0.19,63.09,72.553,1,0,1,0
21.78,4,3.15,0.56,0.12,91.02,26.2692,0,0,0,0
46.78,3,3.13,1.75,0.17,34.03,90.7801,1,0,0,0
46.35,1,3.1,0.95,0.24,89.15,68.52850000000001,0,0,1,0
6.55,3,4.43,0.55,0.3,45.41,21.6555,1,0,1,0
49.26,4,3.09,1.95,0.29,35.46,109.4304,0,0,0,0
